Id,Label,timeset,value,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks,clustering,triangles,eigencentrality
Atopobium_parvulum,Atopobium,,1.27,352,4,0.612175,0.692272,0.000464,0,0,0.022325,0.022325,0.000901,0.842706,52059,0.492687
Prevotella_intermedia,Prevotella,,35.080002,532,3,0.705836,0.795345,0.000473,0,0,0.034956,0.034956,0.001224,0.834856,117920,0.770996
Prevotella_fusca,Prevotella,,35.080002,474,3,0.672932,0.762197,0.000699,0,0,0.030322,0.030322,0.001137,0.817129,91601,0.669067
Neisseria_elongata,Neisseria,,4.07,582,3,0.733006,0.822719,0.000759,2,0,0.037515,0.037515,0.001333,0.793814,134211,0.828008
Prevotella_denticola,Prevotella,,35.080002,57,4,0.487473,0.512849,0.0018,0,0,0.003243,0.003243,0.00038,0.905388,1445,0.071629
Prevotella_enoeca,Prevotella,,35.080002,473,4,0.672932,0.761918,0.000632,0,0,0.030725,0.030725,0.001128,0.834316,93133,0.677806
Tannerella_forsythia,Tannerella,,0.12,166,4,0.528024,0.579609,0.000089,0,0,0.009842,0.009842,0.000524,0.879956,12051,0.217345
Streptococcus_constellatus,Streptococcus,,44.610001,637,3,0.769561,0.854004,0.000638,2,0,0.041375,0.041375,0.001427,0.790611,160151,0.912959
Porphyromonas_gingivalis,Porphyromonas,,0.21,646,3,0.777585,0.85959,0.000583,2,0,0.042206,0.042206,0.001436,0.797134,166071,0.931142
Mageeibacillus_indolicus,Mageeibacillus,,0.05,665,3,0.791335,0.870391,0.000686,1,0,0.042938,0.042938,0.001483,0.77897,171981,0.94744
Faecalibacterium_prausnitzii,Faecalibacterium,,0.02,508,4,0.69112,0.781471,0.000883,1,0,0.032482,0.032482,0.00121,0.804113,103552,0.716888
Prevotella_dentalis,Prevotella,,35.080002,579,3,0.735415,0.822346,0.000529,0,0,0.038115,0.038115,0.001312,0.823631,137819,0.840639
Candidatus_Saccharibacteria,Candidatus,,0.25,618,3,0.759118,0.843948,0.000754,1,0,0.039725,0.039725,0.001401,0.784483,149564,0.876596
Actinomyces_radicidentis,Actinomyces,,4.2,671,3,0.795556,0.873743,0.000737,0,0,0.043321,0.043321,0.001493,0.777329,174732,0.955847
Streptococcus_infantarius,Streptococcus,,44.610001,626,3,0.762351,0.847858,0.00058,2,0,0.041067,0.041067,0.001401,0.805996,157673,0.905939
Porphyromonas_asaccharolytica,Porphyromonas,,0.21,678,3,0.799107,0.877281,0.000611,2,0,0.043735,0.043735,0.0015,0.775375,177951,0.965079
Streptococcus_himalayensis,Streptococcus,,44.610001,612,3,0.754637,0.84041,0.000414,2,0,0.040362,0.040362,0.001365,0.816175,152597,0.890387
Actinomyces_gaoshouyii,Actinomyces,,4.2,644,3,0.77691,0.858659,0.000893,1,0,0.04146,0.04146,0.001453,0.777508,160980,0.914907
Prevotella_ruminicola,Prevotella,,35.080002,669,3,0.79344,0.872439,0.00087,0,0,0.043149,0.043149,0.001496,0.775686,173324,0.952075
Streptobacillus_moniliformis,Streptobacillus,,0.08,671,3,0.796263,0.873929,0.00067,1,0,0.043317,0.043317,0.00149,0.776831,174620,0.955884
Candidatus_Saccharimonas,Candidatus,,0.25,631,3,0.767581,0.85121,0.000667,0,0,0.040861,0.040861,0.00142,0.790808,157185,0.901493
Enterococcus_durans,Enterococcus,,0.09,585,3,0.739669,0.825885,0.001678,2,0,0.037985,0.037985,0.001353,0.792776,135422,0.838301
Finegoldia_magna,Finegoldia,,0.05,678,3,0.801253,0.87784,0.000695,1,0,0.043768,0.043768,0.001504,0.775171,177904,0.965785
Eubacterium_eligens,Eubacterium,,6.12,627,3,0.764304,0.84879,0.00089,0,0,0.040379,0.040379,0.001422,0.784689,153996,0.890917
Aggregatibacter_actinomycetemcomitans,Aggregatibacter,,0.37,568,3,0.725872,0.81527,0.000481,2,0,0.037073,0.037073,0.001289,0.811958,130748,0.818096
Bacteroides_salanitronis,Bacteroides,,0.1,653,3,0.782343,0.863501,0.000661,0,0,0.042541,0.042541,0.001455,0.79274,168757,0.938504
Anaerostipes_hadrus,Anaerostipes,,0.02,622,3,0.761054,0.845996,0.000842,0,0,0.040725,0.040725,0.001406,0.805728,155611,0.89838
Barnesiella_viscericola,Barnesiella,,0.03,668,3,0.79344,0.872067,0.000675,0,0,0.043313,0.043313,0.001483,0.783035,174443,0.955618
Lactobacillus_salivarius,Lactobacillus,,0.16,647,3,0.777585,0.859963,0.000777,2,0,0.04187,0.04187,0.00145,0.785052,164061,0.923943
Gardnerella_vaginalis,Gardnerella,,0.04,677,3,0.798394,0.876723,0.000757,2,0,0.043578,0.043578,0.001504,0.771302,176494,0.961629
Collinsella_aerofaciens,Collinsella,,0.02,598,3,0.747703,0.833147,0.001578,0,0,0.038213,0.038213,0.00139,0.771847,137777,0.843426
Clostridium_saccharolyticum,Clostridium,,0.17,643,3,0.774892,0.857728,0.000763,0,0,0.041527,0.041527,0.001445,0.784383,161899,0.91621
Eubacterium_rectale,Eubacterium,,6.12,679,3,0.801253,0.878212,0.000625,0,0,0.043872,0.043872,0.001503,0.777267,178912,0.967982
Scardovia_inopinata,Scardovia,,0.02,434,4,0.651857,0.739385,0.000538,0,0,0.028014,0.028014,0.001051,0.839284,78860,0.618083
Sneathia_amnii,Sneathia,,0.03,651,3,0.780296,0.862197,0.000498,1,0,0.042539,0.042539,0.001443,0.796001,168414,0.938522
Aerococcus_christensenii,Aerococcus,,0.05,620,3,0.756551,0.843948,0.000493,0,0,0.040878,0.040878,0.001381,0.812299,155872,0.901636
Streptococcus_iniae,Streptococcus,,44.610001,655,3,0.782343,0.864246,0.000638,2,0,0.042553,0.042553,0.001457,0.787875,168751,0.938889
Streptococcus_dysgalactiae,Streptococcus,,44.610001,668,3,0.79344,0.872067,0.000661,0,0,0.043289,0.043289,0.001483,0.782057,174225,0.955081
Streptococcus_parauberis,Streptococcus,,44.610001,674,3,0.795556,0.87486,0.000708,2,0,0.043235,0.043235,0.001498,0.768859,174378,0.954142
Bacteroides_fragilis,Bacteroides,,0.1,691,3,0.809955,0.884916,0.000648,0,0,0.044474,0.044474,0.001526,0.769395,183420,0.981309
Bacteroides_helcogenes,Bacteroides,,0.1,699,3,0.815861,0.889385,0.000706,0,0,0.044785,0.044785,0.001543,0.761739,185827,0.988261
Streptococcus_halotolerans,Streptococcus,,44.610001,683,3,0.803411,0.880261,0.000731,2,0,0.043722,0.043722,0.001516,0.764013,177941,0.964912
Roseburia_hominis,Roseburia,,0.02,650,3,0.780296,0.861825,0.000688,1,0,0.042044,0.042044,0.001454,0.784957,165567,0.927698
Streptococcus_pyogenes,Streptococcus,,44.610001,663,3,0.789242,0.869088,0.000719,0,0,0.042993,0.042993,0.001475,0.782819,171792,0.948601
Dialister_pneumosintes,Dialister,,0.02,705,3,0.819597,0.892551,0.000905,1,0,0.04466,0.04466,0.001564,0.745902,185103,0.985781
Capnocytophaga_haemolytica,Capnocytophaga,,4.43,646,3,0.775563,0.859032,0.00064,2,0,0.041936,0.041936,0.001441,0.7898,164543,0.925371
Trueperella_pyogenes,Trueperella,,0.03,698,3,0.815861,0.889013,0.000833,1,0,0.044523,0.044523,0.001546,0.755839,183860,0.982547
Streptococcus_lutetiensis,Streptococcus,,44.610001,622,3,0.761702,0.846182,0.000693,0,0,0.040868,0.040868,0.001398,0.806701,155799,0.901571
Candidatus_Azobacteroides,Candidatus,,0.25,529,3,0.703616,0.793482,0.000803,0,0,0.034049,0.034049,0.001241,0.807942,112834,0.751231
Lachnoclostridium_phytofermentans,Lachnoclostridium,,0.01,654,3,0.783027,0.86406,0.000467,0,0,0.042831,0.042831,0.001447,0.800938,171025,0.944788
Streptococcus_uberis,Streptococcus,,44.610001,665,3,0.789938,0.870019,0.000761,2,0,0.042681,0.042681,0.001483,0.771438,170318,0.94194
Eubacterium_maltosivorans,Eubacterium,,6.12,242,3,0.565382,0.628678,0.000135,0,0,0.016035,0.016035,0.000656,0.908268,26486,0.353511
Butyrivibrio_proteoclasticus,Butyrivibrio,,0.03,661,3,0.787159,0.867784,0.000713,0,0,0.04279,0.04279,0.001475,0.782167,170614,0.944068
Isoptericola_variabilis,Isoptericola,,0.03,710,3,0.823367,0.895345,0.000906,1,0,0.045003,0.045003,0.001575,0.746503,187891,0.993324
Olsenella_uli,Olsenella,,0.01,394,3,0.633404,0.716946,0.000518,1,0,0.024371,0.024371,0.000982,0.800674,61989,0.538253
Anaerococcus_prevotii,Anaerococcus,,0.01,655,3,0.7844,0.864804,0.000743,0,0,0.042456,0.042456,0.001465,0.785368,168214,0.936686
Isoptericola_dokdonensis,Isoptericola,,0.03,668,3,0.792737,0.871881,0.000769,1,0,0.043055,0.043055,0.001489,0.774026,172436,0.95006
Butyrivibrio_hungatei,Butyrivibrio,,0.03,673,3,0.795556,0.874488,0.000634,0,0,0.043582,0.043582,0.001491,0.780982,176602,0.961528
Dermacoccus_nishinomiyaensis,Dermacoccus,,0.01,658,3,0.785088,0.866108,0.000802,1,0,0.042434,0.042434,0.001475,0.777565,168073,0.936373
Streptococcus_pasteurianus,Streptococcus,,44.610001,437,3,0.651857,0.74041,0.000841,2,0,0.029373,0.029373,0.001052,0.855615,81511,0.647815
Actinotignum_schaalii,Actinotignum,,0.02,630,3,0.766924,0.850652,0.000713,0,0,0.041023,0.041023,0.001415,0.792611,157044,0.905036
Xylanimonas_cellulosilytica,Xylanimonas,,0.01,709,3,0.82261,0.894786,0.000735,0,0,0.045188,0.045188,0.001564,0.753385,189089,0.997268
Brochothrix_thermosphacta,Brochothrix,,0.02,690,3,0.807033,0.883799,0.000717,2,0,0.044179,0.044179,0.001528,0.762302,181203,0.974927
Alistipes_finegoldii,Alistipes,,0.01,656,3,0.7844,0.865177,0.000703,0,0,0.042543,0.042543,0.001463,0.785003,168650,0.938657
Bacteroides_cellulosilyticus,Bacteroides,,0.1,613,3,0.755274,0.840968,0.000662,0,0,0.039948,0.039948,0.001383,0.800094,150080,0.881292
Clostridium_bolteae,Clostridium,,0.17,206,4,0.549754,0.606983,0.000089,0,0,0.013365,0.013365,0.000583,0.901444,19034,0.294771
Corynebacterium_uterequi,Corynebacterium,,0.17,673,3,0.796972,0.87486,0.000652,0,0,0.04351,0.04351,0.001492,0.778002,175928,0.960023
Treponema_pedis,Treponema,,0.03,670,3,0.796263,0.873557,0.000585,0,0,0.043692,0.043692,0.001481,0.790032,177058,0.963894
Sebaldella_termitidis,Sebaldella,,0.01,486,3,0.680608,0.76946,0.000481,1,0,0.032352,0.032352,0.001127,0.848144,99958,0.713555
Propionibacterium_freudenreichii,Propionibacterium,,0.01,611,3,0.75021,0.838734,0.000678,0,0,0.040228,0.040228,0.001373,0.809959,150940,0.887382
Streptococcus_pantholopis,Streptococcus,,44.610001,600,3,0.745833,0.833333,0.000596,2,0,0.039152,0.039152,0.001356,0.802359,144184,0.863884
Bacteroides_caccae,Bacteroides,,0.1,578,3,0.734811,0.821788,0.000591,0,0,0.038277,0.038277,0.001312,0.828153,138097,0.844152
Corynebacterium_frankenforstense,Corynebacterium,,0.17,620,3,0.759762,0.844879,0.000672,0,0,0.040342,0.040342,0.001397,0.798546,153233,0.890018
Fusobacterium_varium,Fusobacterium,,34.709999,691,3,0.809955,0.884916,0.000666,0,0,0.044541,0.044541,0.001526,0.770998,183802,0.982757
Ruminococcus_bicirculans,Ruminococcus,,0.02,673,3,0.796972,0.87486,0.000541,0,0,0.043829,0.043829,0.001485,0.788385,178276,0.966886
Parabacteroides_distasonis,Parabacteroides,,0.01,667,3,0.790636,0.87095,0.000789,0,0,0.04313,0.04313,0.001485,0.778291,172867,0.951618
Bacteroides_thetaiotaomicron,Bacteroides,,0.1,646,3,0.777585,0.85959,0.000414,0,0,0.04265,0.04265,0.001427,0.811146,168990,0.940702
Riemerella_anatipestifer,Riemerella,,0.02,682,3,0.801971,0.879516,0.0007,2,0,0.043727,0.043727,0.001513,0.766386,177971,0.964996
Lactobacillus_terrae,Lactobacillus,,0.16,660,3,0.785777,0.867039,0.00067,2,0,0.042443,0.042443,0.001471,0.775174,168577,0.936614
Erysipelothrix_rhusiopathiae,Erysipelothrix,,0.01,654,3,0.7844,0.864432,0.000523,1,0,0.042799,0.042799,0.001447,0.797008,170186,0.944165
Ilyobacter_polytropus,Ilyobacter,,0.01,502,3,0.688462,0.778212,0.000592,1,0,0.032614,0.032614,0.001172,0.822944,103486,0.719571
Slackia_heliotrinireducens,Slackia,,0.01,596,3,0.743355,0.831099,0.000538,0,0,0.038983,0.038983,0.001345,0.812526,144069,0.859935
Lactococcus_raffinolactis,Lactococcus,,0.07,643,3,0.774892,0.857728,0.000522,2,0,0.041986,0.041986,0.00143,0.797847,164678,0.926274
Cellulomonas_flavigena,Cellulomonas,,0.02,636,3,0.770887,0.854004,0.000623,1,0,0.041352,0.041352,0.001424,0.795078,160550,0.912301
Corynebacterium_halotolerans,Corynebacterium,,0.17,687,3,0.807033,0.882682,0.000737,1,0,0.044239,0.044239,0.001522,0.770651,181597,0.976268
Bacteroides_caecimuris,Bacteroides,,0.1,548,3,0.715428,0.804469,0.000507,0,0,0.036052,0.036052,0.001255,0.830969,124544,0.795183
Clostridium_baratii,Clostridium,,0.17,687,3,0.807033,0.882682,0.000689,2,0,0.044293,0.044293,0.001519,0.771869,181884,0.977309
Clostridium_butyricum,Clostridium,,0.17,597,3,0.744592,0.831844,0.000464,0,0,0.03956,0.03956,0.001341,0.828409,147379,0.87248
Kocuria_flava,Kocuria,,0.03,512,3,0.695416,0.784358,0.001668,0,0,0.033468,0.033468,0.00124,0.811613,106172,0.738403
Janibacter_indicus,Janibacter,,0.01,704,3,0.818847,0.891993,0.000855,1,0,0.044782,0.044782,0.001561,0.752012,186090,0.98842
Clostridium_sticklandii,Clostridium,,0.17,659,3,0.788546,0.867412,0.000552,0,0,0.043105,0.043105,0.001458,0.795628,172501,0.950874
Halanaerobium_praevalens,Halanaerobium,,0.01,688,3,0.808491,0.883426,0.000626,1,0,0.044408,0.044408,0.001518,0.773776,182865,0.979863
Lactococcus_piscium,Lactococcus,,0.07,685,3,0.803411,0.881006,0.00063,2,0,0.044142,0.044142,0.001514,0.77231,180929,0.974042
Paludibacter_propionicigenes,Paludibacter,,0.01,651,3,0.781659,0.86257,0.000647,0,0,0.042516,0.042516,0.00145,0.796143,168444,0.937918
Microcella_alkaliphila,Microcella,,0.01,685,3,0.805581,0.881564,0.001045,1,0,0.043948,0.043948,0.001531,0.765365,179302,0.969849
Erysipelothrix_larvae,Erysipelothrix,,0.01,553,3,0.718876,0.807449,0.000262,0,0,0.037457,0.037457,0.001241,0.862024,131569,0.825781
Cellulosimicrobium_cellulans,Cellulosimicrobium,,0.01,676,3,0.799107,0.876536,0.000659,1,0,0.043745,0.043745,0.001498,0.779053,177741,0.965186
Clostridium_bornimense,Clostridium,,0.17,701,3,0.817352,0.890503,0.000659,0,0,0.044992,0.044992,0.001543,0.764084,187468,0.992792
Campylobacter_hominis,Campylobacter,,16.51,653,3,0.782343,0.863501,0.0014,2,0,0.04192,0.04192,0.001474,0.77108,164146,0.925208
Clavibacter_michiganensis,Clavibacter,,0.01,645,3,0.77691,0.859032,0.000756,0,0,0.041919,0.041919,0.001445,0.787549,163566,0.924881
Candidatus_Campbellbacteria,Candidatus,,0.25,570,3,0.730016,0.817318,0.000267,1,0,0.038516,0.038516,0.001276,0.857497,139056,0.849282
Porphyromonadaceae_bacterium,Porphyromonadaceae,,0.01,583,3,0.736626,0.824209,0.000482,0,0,0.038653,0.038653,0.001317,0.829458,140720,0.852573
Clostridium_lentocellum,Clostridium,,0.17,689,3,0.808491,0.883799,0.000595,0,0,0.044497,0.044497,0.001519,0.774382,183541,0.981765
Bifidobacterium_choerinum,Bifidobacterium,,0.05,713,3,0.825646,0.89702,0.000823,1,0,0.045234,0.045234,0.001576,0.747293,189684,0.998413
Brachybacterium_ginsengisoli,Brachybacterium,,0.01,667,3,0.792737,0.871508,0.000645,1,0,0.043206,0.043206,0.001482,0.782564,173816,0.953294
Mycoplasma_bovigenitalium,Mycoplasma,,0.04,697,3,0.812897,0.887896,0.000857,2,0,0.044479,0.044479,0.001547,0.756411,183472,0.981634
Microbacterium_hominis,Microbacterium,,0.02,682,3,0.803411,0.879888,0.000657,1,0,0.044035,0.044035,0.00151,0.774995,179970,0.971671
Campylobacter_pinnipediorum,Campylobacter,,16.51,684,3,0.805581,0.881192,0.000609,0,0,0.044236,0.044236,0.001509,0.776729,181433,0.975984
Acidipropionibacterium_acidipropionici,Acidipropionibacterium,,0.01,710,3,0.824125,0.895531,0.000819,0,0,0.045159,0.045159,0.001569,0.750516,188901,0.996674
Tessaracoccus_flavescens,Tessaracoccus,,0.01,692,3,0.810688,0.885475,0.000834,1,0,0.044246,0.044246,0.001536,0.759898,181681,0.976412
Cryptobacterium_curtum,Cryptobacterium,,0.01,521,3,0.698128,0.788641,0.00052,0,0,0.03457,0.03457,0.001195,0.844581,114407,0.762344
Capnocytophaga_canimorsus,Capnocytophaga,,4.43,642,3,0.774892,0.857356,0.000704,2,0,0.041768,0.041768,0.001432,0.790179,162588,0.92153
Megasphaera_elsdenii,Megasphaera,,0.01,143,4,0.516445,0.563966,0.000571,0,0,0.007218,0.007218,0.000541,0.778686,7906,0.159877
Clostridium_isatidis,Clostridium,,0.17,702,3,0.818099,0.891061,0.000669,0,0,0.04501,0.04501,0.001546,0.76257,187631,0.993215
Brachybacterium_faecium,Brachybacterium,,0.01,709,3,0.823367,0.894972,0.000716,0,0,0.045263,0.045263,0.001562,0.755684,189666,0.998879
Clostridium_taeniosporum,Clostridium,,0.17,675,3,0.796972,0.875605,0.000604,2,0,0.043713,0.043713,0.001492,0.780046,177441,0.964469
Sinomonas_atrocyanea,Sinomonas,,0,653,3,0.782343,0.863501,0.001113,1,0,0.041954,0.041954,0.001479,0.772395,164426,0.925947
Corynebacterium_humireducens,Corynebacterium,,0.17,613,3,0.754637,0.840782,0.000708,0,0,0.040257,0.040257,0.001381,0.807408,151452,0.888002
Mycoplasma_hyopneumoniae,Mycoplasma,,0.04,663,3,0.789242,0.869088,0.001055,2,0,0.042642,0.042642,0.001489,0.771865,169388,0.941054
Lactobacillus_ruminis,Lactobacillus,,0.16,631,3,0.767581,0.85121,0.000545,0,0,0.041254,0.041254,0.001409,0.803154,159639,0.910073
Beutenbergia_cavernae,Beutenbergia,,0.01,709,3,0.82261,0.894786,0.000813,1,0,0.045103,0.045103,0.001567,0.750719,188420,0.995398
Candidatus_Woesebacteria,Candidatus,,0.25,583,3,0.736626,0.824209,0.000367,0,0,0.038702,0.038702,0.001309,0.835741,141786,0.853487
Treponema_succinifaciens,Treponema,,0.03,664,3,0.789938,0.869646,0.000661,0,0,0.043264,0.043264,0.001473,0.789016,173675,0.95448
Brevibacterium_aurantiacum,Brevibacterium,,0.01,641,3,0.773552,0.856611,0.000607,1,0,0.041683,0.041683,0.001431,0.792014,162458,0.919646
Clostridium_propionicum,Clostridium,,0.17,675,3,0.799107,0.876164,0.000554,0,0,0.043868,0.043868,0.00149,0.784873,178539,0.967779
Mycoplasma_canis,Mycoplasma,,0.04,544,3,0.712013,0.801862,0.000329,0,0,0.036683,0.036683,0.001229,0.859394,126929,0.808829
Carnobacterium_inhibens,Carnobacterium,,0.04,683,3,0.803411,0.880261,0.000705,2,0,0.043933,0.043933,0.001513,0.769496,179218,0.969452
Lactobacillus_coryniformis,Lactobacillus,,0.16,658,3,0.785777,0.866294,0.000553,0,0,0.042868,0.042868,0.001458,0.791296,171041,0.945722
Tenericutes_bacterium,Tenericutes,,0.01,698,3,0.813636,0.888454,0.000908,2,0,0.044453,0.044453,0.001551,0.754523,183540,0.981122
Clostridium_saccharobutylicum,Clostridium,,0.17,660,3,0.786467,0.867225,0.000754,0,0,0.042738,0.042738,0.001472,0.782775,170230,0.942895
Candidatus_Pantoea,Candidatus,,0.25,593,3,0.739669,0.828864,0.00043,0,0,0.039733,0.039733,0.001326,0.841347,147680,0.876199
Entomoplasma_melaleucae,Entomoplasma,,0.01,384,3,0.632956,0.713035,0.001148,0,0,0.0254,0.0254,0.000977,0.855282,62894,0.560182
Draconibacterium_orientale,Draconibacterium,,0,632,3,0.767581,0.851583,0.000952,0,0,0.041048,0.041048,0.001429,0.790292,157581,0.905608
Ruminococcus_albus,Ruminococcus,,0.02,667,3,0.792737,0.871508,0.000699,0,0,0.043232,0.043232,0.001483,0.782699,173846,0.953758
Brevibacterium_linens,Brevibacterium,,0.01,681,3,0.801253,0.878957,0.000695,2,0,0.043964,0.043964,0.001507,0.774026,179218,0.97006
Campylobacter_ureolyticus,Campylobacter,,16.51,689,3,0.807762,0.883613,0.000632,2,0,0.044452,0.044452,0.001519,0.773184,183257,0.980842
Bacteroides_vulgatus,Bacteroides,,0.1,658,3,0.785777,0.866294,0.000629,0,0,0.043046,0.043046,0.001459,0.796158,172092,0.949612
Tessaracoccus_flavus,Tessaracoccus,,0.01,670,3,0.794849,0.873184,0.000532,0,0,0.043573,0.043573,0.001481,0.787609,176515,0.961244
Lactobacillus_nagelii,Lactobacillus,,0.16,615,3,0.757832,0.842458,0.001118,1,0,0.03929,0.03929,0.001402,0.766998,144813,0.86733
Peptoclostridium_acidaminophilum,Peptoclostridium,,0,679,3,0.800537,0.878026,0.000687,2,0,0.043571,0.043571,0.001506,0.768361,176862,0.961503
Candidatus_Zinderia,Candidatus,,0.25,109,3,0.518841,0.5527,0.000032,2,0,0.007055,0.007055,0.000386,0.865104,5092,0.155653
Clostridium_novyi,Clostridium,,0.17,694,3,0.811423,0.886406,0.00064,2,0,0.044642,0.044642,0.001529,0.768176,184724,0.985059
Halobacteroides_halobius,Halobacteroides,,0,403,4,0.638374,0.722439,0.001577,1,0,0.026037,0.026037,0.001029,0.826253,66929,0.5745
Agromyces_aureus,Agromyces,,0,656,3,0.7844,0.865177,0.000733,1,0,0.042309,0.042309,0.001467,0.776918,166913,0.933601
Cellulomonas_fimi,Cellulomonas,,0.02,639,3,0.772884,0.85568,0.000503,1,0,0.041878,0.041878,0.001423,0.804303,163950,0.923814
Parasaccharibacter_apium,Parasaccharibacter,,0,434,4,0.650909,0.739013,0.000284,0,0,0.029099,0.029099,0.001029,0.88193,82867,0.641615
Erysipelotrichaceae_bacterium,Erysipelotrichaceae,,0,654,3,0.782343,0.863873,0.00072,0,0,0.042402,0.042402,0.001463,0.785146,167653,0.935498
Spiroplasma_chrysopicola,Spiroplasma,,0.01,678,3,0.800537,0.877654,0.000622,0,0,0.044004,0.044004,0.001499,0.782007,179473,0.970861
Cnuibacter_physcomitrellae,Cnuibacter,,0,668,3,0.792737,0.871881,0.000918,1,0,0.042939,0.042939,0.001497,0.771441,171860,0.947625
Terribacillus_goriensis,Terribacillus,,0,648,3,0.778261,0.860521,0.000526,0,0,0.042466,0.042466,0.001437,0.799373,167571,0.936738
Campylobacter_iguaniorum,Campylobacter,,16.51,584,3,0.735415,0.824209,0.000455,1,0,0.038854,0.038854,0.001313,0.828515,141043,0.85705
Microbacterium_paludicola,Microbacterium,,0.02,690,3,0.808491,0.884171,0.00087,1,0,0.044124,0.044124,0.001535,0.76056,180789,0.973799
Acholeplasma_laidlawii,Acholeplasma,,0.13,631,3,0.76824,0.851397,0.000535,0,0,0.041468,0.041468,0.001408,0.807335,160470,0.914769
Clostridium_argentinense,Clostridium,,0.17,673,3,0.796263,0.874674,0.000648,1,0,0.04355,0.04355,0.001494,0.779474,176261,0.960987
Bacteroides_ovatus,Bacteroides,,0.1,653,3,0.782343,0.863501,0.00076,0,0,0.042345,0.042345,0.001462,0.786573,167444,0.934264
Lactobacillus_crustorum,Lactobacillus,,0.16,581,3,0.736626,0.823464,0.000573,2,0,0.038002,0.038002,0.001315,0.803258,135341,0.838548
Campylobacter_subantarcticus,Campylobacter,,16.51,434,4,0.651857,0.739385,0.00019,0,0,0.029574,0.029574,0.001012,0.889199,83550,0.651904
Cellulomonas_gilvus,Cellulomonas,,0.02,682,3,0.803411,0.879888,0.00072,0,0,0.043866,0.043866,0.001512,0.7699,178787,0.967956
Candidatus_Melainabacteria,Candidatus,,0.25,646,3,0.77691,0.859404,0.000606,0,0,0.042166,0.042166,0.001438,0.794989,165624,0.930195
Desulfitobacterium_metallireducens,Desulfitobacterium,,0.01,583,3,0.736626,0.824209,0.000766,0,0,0.037821,0.037821,0.001332,0.796219,135081,0.834481
Pediococcus_pentosaceus,Pediococcus,,0.02,650,3,0.779617,0.861639,0.00069,2,0,0.041942,0.041942,0.001453,0.781344,164805,0.925503
Bacteroides_dorei,Bacteroides,,0.1,532,3,0.70528,0.795158,0.000547,0,0,0.034757,0.034757,0.001228,0.825907,116656,0.766682
Siansivirga_zeaxanthinifaciens,Siansivirga,,0,654,3,0.780977,0.863501,0.000531,2,0,0.042666,0.042666,0.00145,0.794395,169628,0.941351
Bifidobacterium_scardovii,Bifidobacterium,,0.05,691,3,0.809955,0.884916,0.000694,0,0,0.044436,0.044436,0.001527,0.768019,183092,0.980498
Elizabethkingia_meningoseptica,Elizabethkingia,,0.01,705,3,0.818099,0.892179,0.000732,2,0,0.044976,0.044976,0.001556,0.755263,187426,0.992579
Anoxybacillus_flavithermus,Anoxybacillus,,0,686,3,0.805581,0.881937,0.000871,1,0,0.043764,0.043764,0.00153,0.757826,178055,0.965929
Paeniclostridium_sordellii,Paeniclostridium,,0.01,706,3,0.821101,0.893296,0.000813,1,0,0.044896,0.044896,0.001562,0.751215,186951,0.990928
